Analyzing prog1_sort.c...
Building Basic Blocks...
Generating CFG nodes for prog1_sort.c...
CFG saved to prog1_sort.c_cfg.png
Cyclomatic Complexity: 12
Performing Reaching Definitions Analysis...
  Iteration 1...
  Iteration 2...
  Iteration 3...

========================================
Reaching Definitions Report
========================================
Block      | Gen             | Kill            | In                   | Out                 
------------------------------------------------------------------------------------------
1          | D1, D2, D3      |                 |                      | D1, D2, D3          
2          | D4              | D10, D14, D31, D5 | D1, D2, D3, D4       | D1, D2, D3, D4      
3          |                 |                 | D1, D2, D3, D4       | D1, D2, D3, D4      
4          | D5              | D10, D14, D31, D4 | D1, D2, D3, D4, D5   | D1, D2, D3, D5      
5          | D6              | D8, D9          | D1, D2, D3, D5       | D1, D2, D3, D5, D6  
6          | D7              | D12, D32        | D1, D2, D3, D5, D6, D7 | D1, D2, D3, D5, D6, D7
7          |                 |                 | D1, D2, D3, D5, D6, D7 | D1, D2, D3, D5, D6, D7
8          | D8              | D6, D9          | D1, D2, D3, D5, D6, D7 | D1, D2, D3, D5, D7, D8
9          |                 |                 | D1, D2, D3, D5, D7, D8 | D1, D2, D3, D5, D7, D8
10         |                 |                 | D1, D2, D3, D5, D7, D8 | D1, D2, D3, D5, D7, D8
11         | D9              | D6, D8          | D1, D2, D3, D5, D7, D8 | D1, D2, D3, D5, D7, D9
12         |                 |                 | D1, D2, D3, D5, D7, D9 | D1, D2, D3, D5, D7, D9
13         |                 |                 | D1, D2, D3, D5, D7, D9 | D1, D2, D3, D5, D7, D9
14         | D10             | D14, D31, D4, D5 | D1, D10, D2, D3, D5, D7, D9 | D1, D10, D2, D3, D7, D9
15         | D11             | D13             | D1, D10, D2, D3, D7, D9 | D1, D10, D11, D2, D3, D7, D9
16         | D12             | D32, D7         | D1, D10, D11, D12, D2, D3, D7, D9 | D1, D10, D11, D12, D2, D3, D9
17         |                 |                 | D1, D10, D11, D12, D2, D3, D9 | D1, D10, D11, D12, D2, D3, D9
18         | D13             | D11             | D1, D10, D11, D12, D2, D3, D9 | D1, D10, D12, D13, D2, D3, D9
19         |                 |                 | D1, D10, D12, D13, D2, D3, D9 | D1, D10, D12, D13, D2, D3, D9
20         | D14             | D10, D31, D4, D5 | D1, D10, D12, D13, D14, D2, D3, D9 | D1, D12, D13, D14, D2, D3, D9
21         |                 |                 | D1, D12, D13, D14, D2, D3, D9 | D1, D12, D13, D14, D2, D3, D9
22         |                 |                 | D1, D12, D13, D14, D2, D3, D9 | D1, D12, D13, D14, D2, D3, D9
23         |                 |                 | D1, D12, D13, D14, D2, D3, D9 | D1, D12, D13, D14, D2, D3, D9
